951660	6666666.686738	Streptomyces globisporus C-1027 CP013740.1
951661	6666666.686739	Streptomyces tendae CP043959.1
951663	6666666.686741	Streptomyces griseoflavus GG657758.1
951664	6666666.686742	Streptomyces formicae KY5 CP022685.1
951665	6666666.686743	Streptomyces sp. CB09001 CP026730.1
951667	6666666.686745	Streptomyces hawaiiensis CP021978.1
951669	6666666.686747	Streptomyces rimosus CP023688.1
951670	6666666.686748	Streptomyces leeuwenhoekii LN831790.1
951671	6666666.686749	Streptomyces hygroscopicus subsp. limoneus CP013219.1
951672	6666666.686750	Streptomyces gilvosporeus CP020569.1
951673	6666666.686751	Streptomyces parvulus CP015866.1
951674	6666666.686752	Streptomyces violaceoruber CP020570.1
951675	6666666.686753	Streptomyces fradiae CP023696.1
951676	6666666.686754	Streptomyces spectabilis CP023690.1
951656	6666666.686734	Streptomyces viridosporus ATCC 14672 CP023700.1
951677	6666666.686755	Streptomyces pactum CP019724.1
951678	6666666.686756	Streptomyces kanamyceticus CP023699.1
951681	6666666.686759	Streptomyces niveus CM002280.1
951682	6666666.686760	Streptomyces chartreusis CP056041.1
951685	6666666.686763	Streptomyces sp. FR-008 CP009802.1
951731	6666666.686788	Streptomyces filamentosus NRRL 11379 PDCL01
951732	6666666.686789	Streptomyces griseus subsp. griseus LVHX01
951785	1306181.10	Streptomyces chrestomyceticus JCM 4735 BHZC01
951779	1535768.25	Streptomyces lunaelactis MM109 CP026304.1
951780	188770.5	Streptomyces koyangensis VK-A60T CP031742.1
951776	1943.5	Streptomyces griseoruber NRRL B-1818 LIQS01
951773	54571.57	Streptomyces venezuelae ATCC 15439 CP013129.1
951784	66425.5	Streptomyces luteoverticillatus CGMCC 15060 CP034587.1
218882	6666666.103249	Streptomyces sp. e14 ACUR01
218889	6666666.103255	Streptomyces mobaraensis NBRC 13819 = DSM 40847 AORZ01
218893	6666666.103259	Streptomyces somaliensis DSM 40738 AJJM01
218932	6666666.103296	Streptomyces sp. CNB091 ARJI01
220465	6666666.104190	Streptomyces sp. MspMP-M5 AREE01
220632	6666666.104333	Streptomyces sviceus ATCC 29083 ABJJ02
220639	6666666.104340	Streptomyces viridochromogenes DSM 40736 ACEZ01
220642	6666666.104343	Streptomyces sp. SPB74 ABJG02
221075	6666666.104708	Streptomyces Roseosporus Nrrl 11379 ABYX02
242156	6666666.112895	Streptomyces sp. Tu6071 AFHJ01
242268	6666666.113007	Streptomyces griseoflavus Tu4000 ACFA01
242479	6666666.113215	Streptomyces sp. FXJ7.023 APIV01
242500	6666666.113236	Streptomyces sp. CNT302 ARIM01
512417	6666666.285511	Streptomyces roseosporus NRRL 15998 ABYB01 
242437	6666666.113173	Streptomyces himastatinicus ATCC 53653 ACEX01 
951863	698760.7	Streptomyces turgidiscabies Car8 AEJB01 
951864	1550035.4	Streptomyces sp. NBRC 109706 BBOM01 
951866	1055352.6	Streptomyces sp. W007 AGSW01 
288233	6666666.147092	Streptomyces hygroscopicus subsp. jinggangensis 5008 NC_017765.1
288267	6666666.147125	Streptomyces nodosus strain ATCC 14899 CP009313.1
951709	6666666.686773	Streptomyces collinus NC_021985.1
288302	6666666.147159	Streptomyces griseus subsp. griseus NBRC 13350 NC_010572.1
